"id","code","name","active","uom_type","factor","rounding","category_id/id"
"uom.uom_cm","cm","Centímetro","True","smaller",100,0.01,"uom.uom_categ_length"
"uom.uom_qt","cuarto(s) de galón","cuarto(s) de galón","False","smaller",1.05669,0.01,"uom.uom_categ_vol"
"uom.uom_day","d","Día(s)","True","reference",1,0.01,"uom.uom_categ_wtime"
"uom.uom_dozen","Docena(s)","Docena(s)","False","bigger",0.0833333333,0.01,"uom.uom_categ_unit"
"uom.uom_floz","fl oz","fl oz","False","smaller",33814,0.01,"uom.uom_categ_vol"
"uom.uom_gram","g","Gramo","True","smaller",1000,0.01,"uom.uom_categ_kgm"
"uom.uom_gal","Gal","Galón","True","bigger",0.2641721769,0.01,"uom.uom_categ_vol"
"uom.uom_hour","h","Hora(s)","True","smaller",8,0.01,"uom.uom_categ_wtime"
"uom.uom_kgm","kg","Kilogramo","True","reference",1,1,"uom.uom_categ_kgm"
"uom.uom_km","Km","Kilometro","True","bigger",1,0.01,"uom.uom_categ_length"
"uom.uom_litre","L","Litro","True","reference",1,0.01,"uom.uom_categ_vol"
"uom.uom_lb","libra(s)","libra(s)","False","smaller",2.20462,0.01,"uom.uom_categ_kgm"
"uom.uom_inch","ln","Pulgada","True","smaller",39.3701,0.01,"uom.uom_categ_length"
"uom.uom_meter","m","Metro","True","reference",1,0.01,"uom.uom_categ_length"
"uom.uom_mile","milla(s)","milla(s)","False","bigger",0.0006213727,0.01,"uom.uom_categ_length"
"uom.uom_oz","Oz","Onzas","True","smaller",35274,0.01,"uom.uom_categ_kgm"
"uom.uom_foot","pie(s)","pie(s)","False","smaller",3.28084,0.01,"uom.uom_categ_length"
"uom.uom_sp","Sp","Servicios Profesionales","True","reference",1,0.01,"uom.uom_categ_unit"
"uom.uom_ton","t","Tonelada","True","bigger",1,0.01,"uom.uom_categ_kgm"
"uom.uom_unit","Unid","Unidad","True","reference",1,1,"uom.uom_categ_unit"
"uom.uom_mcuadrado","m²","Metro Cuadrado","True","reference",1,0.01,"uom.uom_categ_length"
"uom.uom_mcubico","m³","Metro Cúbico","True","reference",1,0.01,"uom.uom_categ_length"
