id,code,name,district_id:id
neighborhood_Amón_Carmen_San José_SJ,1,Amón,district_Carmen_San_José_SJ
neighborhood_Aranjuez_Carmen_San José_SJ,2,Aranjuez,district_Carmen_San_José_SJ
neighborhood_California (parte)_Carmen_San José_SJ,3,California (parte),district_Carmen_San_José_SJ
neighborhood_Carmen_Carmen_San José_SJ,4,Carmen,district_Carmen_San_José_SJ
neighborhood_Empalme_Carmen_San José_SJ,5,Empalme,district_Carmen_San_José_SJ
neighborhood_Escalante_Carmen_San José_SJ,6,Escalante,district_Carmen_San_José_SJ
neighborhood_Otoya._Carmen_San José_SJ,7,Otoya.,district_Carmen_San_José_SJ
neighborhood_Bajos de la Unión_Merced_San José_SJ,1,Bajos de la Unión,district_Merced_San_José_SJ
neighborhood_Claret_Merced_San José_SJ,2,Claret,district_Merced_San_José_SJ
neighborhood_Cocacola_Merced_San José_SJ,3,Cocacola,district_Merced_San_José_SJ
neighborhood_Iglesias Flores_Merced_San José_SJ,4,Iglesias Flores,district_Merced_San_José_SJ
neighborhood_Mantica_Merced_San José_SJ,5,Mantica,district_Merced_San_José_SJ
neighborhood_México_Merced_San José_SJ,6,México,district_Merced_San_José_SJ
neighborhood_Paso de la Vaca_Merced_San José_SJ,7,Paso de la Vaca,district_Merced_San_José_SJ
neighborhood_Pitahaya._Merced_San José_SJ,8,Pitahaya.,district_Merced_San_José_SJ
neighborhood_Almendares_Hospital_San José_SJ,1,Almendares,district_Hospital_San_José_SJ
neighborhood_Ángeles_Hospital_San José_SJ,2,Ángeles,district_Hospital_San_José_SJ
neighborhood_Bolívar_Hospital_San José_SJ,3,Bolívar,district_Hospital_San_José_SJ
neighborhood_Carit_Hospital_San José_SJ,4,Carit,district_Hospital_San_José_SJ
neighborhood_Colón (parte)_Hospital_San José_SJ,5,Colón (parte),district_Hospital_San_José_SJ
neighborhood_Corazón de Jesús_Hospital_San José_SJ,6,Corazón de Jesús,district_Hospital_San_José_SJ
neighborhood_Cristo Rey_Hospital_San José_SJ,7,Cristo Rey,district_Hospital_San_José_SJ
neighborhood_Cuba_Hospital_San José_SJ,8,Cuba,district_Hospital_San_José_SJ
neighborhood_Dolorosa (parte)_Hospital_San José_SJ,9,Dolorosa (parte),district_Hospital_San_José_SJ
neighborhood_Merced_Hospital_San José_SJ,10,Merced,district_Hospital_San_José_SJ
neighborhood_Pacífico (parte)_Hospital_San José_SJ,11,Pacífico (parte),district_Hospital_San_José_SJ
neighborhood_Pinos_Hospital_San José_SJ,12,Pinos,district_Hospital_San_José_SJ
neighborhood_Salubridad_Hospital_San José_SJ,13,Salubridad,district_Hospital_San_José_SJ
neighborhood_San Bosco_Hospital_San José_SJ,14,San Bosco,district_Hospital_San_José_SJ
neighborhood_San Francisco_Hospital_San José_SJ,15,San Francisco,district_Hospital_San_José_SJ
